Model,Period,Training period,Features,Better than baseline,MAE,RMSE,R2,Pearson correlation,Spearman rank correlation,MAE high volatility,MAE low volatility
Historical-volatility baseline,2022,up to 2021,Five-day volatility,Reference,1.693692789923695,2.2725111760868377,-0.7504928361184877,0.11617832327646015,0.13024483213605043,2.2057908679128575,1.3678121948396829
Ridge regression,2022,up to 2021,Full feature set,Yes,1.3308227902314593,1.7507608466919145,-0.038967430699589745,0.1436300347477687,0.19229417922463393,1.6553666922833,1.1242948525621064
Random Forest,2022,up to 2021,Full feature set,Yes,1.4401808966405314,1.892576987776022,-0.21410260938799763,0.18570556557034995,0.14924214950218234,1.855385422083873,1.1759598349947682
Historical-volatility baseline,2023,up to 2022,Five-day volatility,Reference,1.1338237686384587,1.4306720639307917,-0.7435989644582863,0.13929305965174954,0.11421358703899465,1.7335585118324006,0.9759988362190001
Ridge regression,2023,up to 2022,Full feature set,Yes,1.0301634335353964,1.2166322443221322,-0.26091279928538347,0.07439009765072838,0.07442341376090865,1.202869571900099,0.9847144497552116
Random Forest,2023,up to 2022,Full feature set,No,1.472243349980161,1.8022848488380847,-1.767026204163618,0.13325338717394392,0.15142014984683522,1.1801406236697631,1.549112488482897
Historical-volatility baseline,2024,up to 2023,Five-day volatility,Reference,1.1579420281364727,1.5415477259072463,-0.5846967113314425,0.20766691586254096,0.2027603903623554,1.3541894600941111,1.0350663838026357
Ridge regression,2024,up to 2023,Full feature set,Yes,1.057106543913439,1.2702869655371016,-0.07605851982092426,0.27768588450437914,0.1938096549894655,0.8387888824714952,1.1938009355369987
Random Forest,2024,up to 2023,Full feature set,No,1.4382874421216703,1.6439619165289903,-0.8022528128814368,0.18202075002139964,0.13004545384980332,0.9146568814311578,1.7661462166080724
Historical-volatility baseline,2025,up to 2024,Five-day volatility,Reference,1.0140076688975035,1.3308992067839345,-0.5390312858429951,0.22430983813080918,0.16831074316718797,1.545292026361299,0.8336088758780804
Ridge regression,2025,up to 2024,Full feature set,Yes,0.9465176571002683,1.1420425780944534,-0.1332395094874479,0.3348830331140038,0.30776909789763623,0.8320914255402787,0.9853713402045929
Random Forest,2025,up to 2024,Full feature set,No,1.244426677736883,1.5332622877663276,-1.0426314937162116,0.14928588835807594,0.09227084338349337,0.837776013770005,1.3825058210987708
